Name,VRAM start
makerom,80000000
boot,80000460
dmadata,
Audiobank,
Audioseq,
Audiotable,
kanji,
link_animetion,
icon_item_static,
icon_item_24_static,
icon_item_field_static,
icon_item_dungeon_static,
icon_item_gameover_static,
icon_item_jpn_static,
icon_item_nes_static,
item_name_static,
map_name_static,
do_action_static,
message_static,
message_texture_static,
nes_font_static,
jpn_message_data_static,
nes_message_data_static,
staff_message_data_static,
map_grand_static,
map_48x85_static,
map_i_static,
code,80010F40
ovl_title,80800000
ovl_select,80800900
ovl_opening,80803580
ovl_file_choose,808036E0
ovl_kaleido_scope,80813660
ovl_player_actor,8082FE80
ovl_map_mark_data,80856660
ovl_En_Test,8085D1C0
ovl_En_GirlA,80862A70
ovl_En_Part,80865390
ovl_En_Light,808669F0
ovl_En_Door,808677F0
ovl_En_Box,80868630
ovl_En_Poh,8086A190
ovl_En_Okuta,8086E380
ovl_En_Bom,80870960
ovl_En_Wallmas,80871830
ovl_En_Dodongo,80873240
ovl_En_Firefly,80875FE0
ovl_En_Horse,80878150
ovl_En_Arrow,808843B0
ovl_En_Elf,80885AB0
ovl_En_Niw,8088A470
ovl_En_Tite,8088D7A0
ovl_En_Reeba,80890540
ovl_En_Peehat,80891FB0
ovl_En_Holl,808956B0
ovl_En_Scene_Change,80896680
ovl_En_Zf,808967B0
ovl_En_Hata,8089D2A0
ovl_Boss_Dodongo,8089D830
ovl_Boss_Goma,808A7330
ovl_En_Zl1,808AD2D0
ovl_En_Viewer,808B10E0
ovl_En_Goma,808B3FA0
ovl_Bg_Pushbox,808B6C50
ovl_En_Bubble,808B6F50
ovl_Door_Shutter,808B8370
ovl_En_Dodojr,808BA630
ovl_En_Bdfire,808BC4D0
ovl_En_Boom,808BD070
ovl_En_Torch2,808BD940
ovl_En_Bili,808C00E0
ovl_En_Tp,808C23B0
ovl_En_St,808C4220
ovl_En_Bw,808C6E90
ovl_En_Eiyer,808CA220
ovl_En_River_Sound,808CBE80
ovl_En_Horse_Normal,808CC810
ovl_En_Ossan,808CEE30
ovl_Bg_Treemouth,808D5410
ovl_Bg_Dodoago,808D6A70
ovl_Bg_Hidan_Dalm,808D7820
ovl_Bg_Hidan_Hrock,808D8070
ovl_En_Horse_Ganon,808D88A0
ovl_Bg_Hidan_Rock,808D9620
ovl_Bg_Hidan_Rsekizou,808DA720
ovl_Bg_Hidan_Sekizou,808DB300
ovl_Bg_Hidan_Sima,808DC750
ovl_Bg_Hidan_Syoku,808DD650
ovl_En_Xc,808DDAB0
ovl_Bg_Hidan_Curtain,808E4240
ovl_Bg_Spot00_Hanebasi,808E4CE0
ovl_En_Mb,808E5DF0
ovl_En_Bombf,808EA020
ovl_Bg_Hidan_Firewall,808EB4B0
ovl_Bg_Dy_Yoseizo,808EBC10
ovl_En_Zl2,808EEA00
ovl_Bg_Hidan_Fslift,808F3100
ovl_En_OE2,808F35D0
ovl_Bg_Ydan_Hasi,808F36B0
ovl_Bg_Ydan_Maruta,808F3E60
ovl_Boss_Ganondrof,808F4540
ovl_En_Am,808F92D0
ovl_En_Dekubaba,808FB6D0
ovl_En_M_Fire1,808FF180
ovl_En_M_Thunder,808FF320
ovl_Bg_Ddan_Jd,80900920
ovl_Bg_Breakwall,80900F70
ovl_En_Jj,80901DE0
ovl_En_Horse_Zelda,809033B0
ovl_Bg_Ddan_Kd,80903EA0
ovl_Door_Warp1,80904790
ovl_Obj_Syokudai,80908AA0
ovl_Item_B_Heart,809096F0
ovl_En_Dekunuts,80909B00
ovl_Bg_Menkuri_Kaiten,8090B300
ovl_Bg_Menkuri_Eye,8090B490
ovl_En_Vali,8090B930
ovl_Bg_Mizu_Movebg,8090DFF0
ovl_Bg_Mizu_Water,8090F180
ovl_Arms_Hook,8090FE50
ovl_En_fHG,80910BC0
ovl_Bg_Mori_Hineri,809134F0
ovl_En_Bb,80914240
ovl_Bg_Toki_Hikari,80917F20
ovl_En_Yukabyun,80918CC0
ovl_Bg_Toki_Swd,809192D0
ovl_En_Fhg_Fire,8091A920
ovl_Bg_Mjin,8091CFC0
ovl_Bg_Hidan_Kousi,8091D3B0
ovl_Door_Toki,8091D940
ovl_Bg_Hidan_Hamstep,8091DAA0
ovl_En_Bird,8091E950
ovl_En_Wood02,8091EE10
ovl_En_Lightbox,8091FFF0
ovl_En_Pu_box,80920470
ovl_En_Trap,809207B0
ovl_En_Arow_Trap,80921A50
ovl_En_Vase,80921BA0
ovl_En_Ta,80921CA0
ovl_En_Tk,80925660
ovl_Bg_Mori_Bigst,80927490
ovl_Bg_Mori_Elevator,80927DC0
ovl_Bg_Mori_Kaitenkabe,809288B0
ovl_Bg_Mori_Rakkatenjo,80928F20
ovl_En_Vm,809298A0
ovl_Demo_Effect,8092B160
ovl_Demo_Kankyo,80930D00
ovl_Bg_Hidan_Fwbig,809349F0
ovl_En_Floormas,809356D0
ovl_En_Heishi1,80938AB0
ovl_En_Rd,80939FC0
ovl_En_Po_Sisters,8093C880
